NCBI	Name	contrast	z.ratio	padj
1042	Catenulisporineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-1.1177477244744896	0.9953052168071133
1043	Corynebacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.09840309224132995	0.9996589994851632
1043	Corynebacterineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.1335664365090126	0.9996589994851632
1043	Corynebacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.8798294721154734	0.9996589994851632
1043	Corynebacterineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.7244781936655511	0.9996589994851632
1043	Corynebacterineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.1335664365090126	0.9996589994851632
1043	Corynebacterineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.09840309224132995	0.9996589994851632
1044	Frankineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.8676180043824172	0.9859112227383121
1044	Frankineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.3196024745210402	0.9859112227383121
1044	Frankineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.31315886276390287	0.9893661402671454
1044	Frankineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.670302038403728	0.9859112227383121
1044	Frankineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.3196024745210402	0.9859112227383121
1044	Frankineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.8676180043824172	0.9859112227383121
1046	Jiangellineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.973901598471128	0.9999983505277636
1046	Jiangellineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.016622446380882637	0.9999983505277636
1046	Jiangellineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.6947784456716674	0.9999983505277636
1046	Jiangellineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.6824623277755237	0.9999983505277636
1046	Jiangellineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.016622446380882637	0.9999983505277636
1046	Jiangellineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.973901598471128	0.9999983505277636
1048	Micrococcineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	1.9012726283946029	0.44582822813157613
1048	Micrococcineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.6124036004730729	0.44582822813157613
1048	Micrococcineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	2.341812139445256	0.44582822813157613
1048	Micrococcineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.24698648663636488	0.9947105037852864
1048	Micrococcineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.6124036004730729	0.44582822813157613
1048	Micrococcineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	1.9012726283946029	0.44582822813157613
1049	Micromonosporineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	2.681472443208595	0.0736667473323449
1049	Micromonosporineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.527067727812991	0.5054117276154902
1049	Micromonosporineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.863337983052172	0.823760470474349
1049	Micromonosporineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-2.866215824311817	0.0736667473323449
1049	Micromonosporineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.527067727812991	0.5054117276154902
1049	Micromonosporineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	2.681472443208595	0.0736667473323449
1050	Propionibacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-0.5501548539070782	0.9465351875339969
1050	Propionibacterineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.6564721179859956	0.856745872243672
1050	Propionibacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.5150520278651658	0.856745872243672
1050	Propionibacterineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.8453498682198762	0.9465351875339969
1050	Propionibacterineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.6564721179859956	0.856745872243672
1050	Propionibacterineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-0.5501548539070782	0.9465351875339969
1051	Pseudonocardineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.7294794488094419	0.9046267729982413
1051	Pseudonocardineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.6943983301235217	0.6531486873123189
1051	Pseudonocardineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.6802927942772843	0.9046267729982413
1051	Pseudonocardineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.7961105821603285	0.6531486873123189
1051	Pseudonocardineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.6943983301235217	0.6531486873123189
1051	Pseudonocardineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.7294794488094419	0.9046267729982413
1052	Streptomycineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.4780329839535393	0.9999973529144811
1052	Streptomycineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.5060292851014567	0.9999973529144811
1052	Streptomycineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.6977335430603638	0.9999973529144811
1052	Streptomycineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.019461433319051594	0.9999973529144811
1052	Streptomycineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.5060292851014567	0.9999973529144811
1052	Streptomycineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.4780329839535393	0.9999973529144811
1053	Streptosporangineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	1.432634322748294	0.9449665032583404
1053	Streptosporangineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.609916632570097	0.9449665032583404
1053	Streptosporangineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.5559153521905604	0.9449665032583404
1053	Streptosporangineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.5137159061610128	0.9449665032583404
1053	Streptosporangineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.609916632570097	0.9449665032583404
1053	Streptosporangineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	1.432634322748294	0.9449665032583404
1054	unclassified_Actinomycetales	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-0.027145092029965123	0.9999999337576666
1054	unclassified_Actinomycetales	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.03549689512135601	0.9999999337576666
1054	unclassified_Actinomycetales	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.0474673055069718	0.9999999337576666
1054	unclassified_Actinomycetales	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.005692179303860246	0.9999999337576666
1054	unclassified_Actinomycetales	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.03549689512135601	0.9999999337576666
1054	unclassified_Actinomycetales	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-0.027145092029965123	0.9999999337576666
1055	Bifidobacteriaceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-1.2634477849062018	0.7035675534962522
1055	Bifidobacteriaceae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-2.137417228041515	0.2826084495315331
1055	Bifidobacteriaceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-2.3711727588250606	0.2826084495315331
1055	Bifidobacteriaceae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.6836160564333755	0.9033804299190841
1055	Bifidobacteriaceae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-2.137417228041515	0.2826084495315331
1055	Bifidobacteriaceae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-1.2634477849062018	0.7035675534962522
1056	Coriobacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-3.125801055202028	0.01919778070958067
1056	Coriobacterineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.5099420504687342	0.51773675916189
1056	Coriobacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-3.2855078933790636	0.01919778070958067
1056	Coriobacterineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.135178380372426	0.6677155713016776
1056	Coriobacterineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.5099420504687342	0.51773675916189
1056	Coriobacterineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-3.125801055202028	0.01919778070958067
1058	Nitriliruptoraceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-0.1470778089877582	0.9988664864049668
1058	Nitriliruptoraceae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.5235862415986638	0.9988664864049668
1058	Nitriliruptoraceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.4804442742561257	0.9988664864049668
1058	Nitriliruptoraceae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.26581813341601523	0.9988664864049668
1058	Nitriliruptoraceae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.5235862415986638	0.9988664864049668
1058	Nitriliruptoraceae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-0.1470778089877582	0.9988664864049668
1059	Gaiellaceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.0579620966037828	0.9999301461458513
1059	Gaiellaceae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.84388707244471	0.7582688993237701
1059	Gaiellaceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.333006169922886	0.8191308072060202
1059	Gaiellaceae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.3262827210726111	0.8191308072060202
1059	Gaiellaceae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.84388707244471	0.7582688993237701
1059	Gaiellaceae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.0579620966037828	0.9999301461458513
106	Acidobacteria_Gp1	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.0014233522008846053	0.9999999989642816
106	Acidobacteria_Gp1	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.7156962965474332	0.9999999989642816
106	Acidobacteria_Gp1	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.4868499718722255	0.9999999989642816
106	Acidobacteria_Gp1	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.5358047894666036	0.9999999989642816
106	Acidobacteria_Gp1	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.7156962965474332	0.9999999989642816
106	Acidobacteria_Gp1	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.0014233522008846053	0.9999999989642816
1060	Rubrobacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	1.8834021605233864	0.7054068492611738
1060	Rubrobacterineae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.2515923275661381	0.9944138216616778
1060	Rubrobacterineae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.4934654735070079	0.882829039134845
1060	Rubrobacterineae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.1745627676063888	0.9644388102826009
1060	Rubrobacterineae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.2515923275661381	0.9944138216616778
1060	Rubrobacterineae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	1.8834021605233864	0.7054068492611738
1061	Conexibacteraceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-0.14556929163918386	0.9989008262265844
1061	Conexibacteraceae	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.2752031119476954	0.9989008262265844
1061	Conexibacteraceae	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.0027031400908526	0.9989008262265844
1061	Conexibacteraceae	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.8229677309017971	0.9989008262265844
1061	Conexibacteraceae	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.2752031119476954	0.9989008262265844
1061	Conexibacteraceae	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-0.14556929163918386	0.9989008262265844
1064	unclassified_Solirubrobacterales	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	1.2742584164417148	0.6952585314161351
1064	unclassified_Solirubrobacterales	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-2.1889009642782966	0.25252518112456546
1064	unclassified_Solirubrobacterales	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.7410273612921169	0.8805032844540857
1064	unclassified_Solirubrobacterales	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-2.3016607036745795	0.25252518112456546
1064	unclassified_Solirubrobacterales	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-2.1889009642782966	0.25252518112456546
1064	unclassified_Solirubrobacterales	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	1.2742584164417148	0.6952585314161351
1065	Thermoleophilum	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-0.7906925431178243	0.9999849482237408
1065	Thermoleophilum	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.7319088151826493	0.9999849482237408
1065	Thermoleophilum	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.01974460114965	0.9999849482237408
1065	Thermoleophilum	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.0347397243872787	0.9999849482237408
1065	Thermoleophilum	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.7319088151826493	0.9999849482237408
1065	Thermoleophilum	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-0.7906925431178243	0.9999849482237408
1069	Hydrogenobaculum	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	0.9653687909533062	0.9229962409835712
1069	Hydrogenobaculum	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.3394108176283088	0.9229962409835712
1069	Hydrogenobaculum	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.5807423757280783	0.9229962409835712
1069	Hydrogenobaculum	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.2713489279058245	0.9930187429481585
1069	Hydrogenobaculum	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.3394108176283088	0.9229962409835712
1069	Hydrogenobaculum	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	0.9653687909533062	0.9229962409835712
108	Acidobacteria_Gp21	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	3.5211080312936347	0.004852884526426626
108	Acidobacteria_Gp21	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-2.5102422235510495	0.06999693754399257
108	Acidobacteria_Gp21	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.7224979456075159	0.8881620895786209
108	Acidobacteria_Gp21	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-4.170174420466969	0.0010704815710760318
108	Acidobacteria_Gp21	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-2.5102422235510495	0.06999693754399257
108	Acidobacteria_Gp21	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	3.5211080312936347	0.004852884526426626
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-2.3066705141553494	0.2894073849792276
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	0.1665196586721486	0.9983586891417997
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-1.4973763922860142	0.6585620039381017
1083	Armatimonas/Armatimonadetes_gp1	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	1.7603645271498451	0.5852789697902985
1083	Armatimonas/Armatimonadetes_gp1	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	0.1665196586721486	0.9983586891417997
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	-2.3066705141553494	0.2894073849792276
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	1.8528815375182286	0.7460221971860697
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.35766346694544365	0.9843323930092731
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	1.0475592016890434	0.9843323930092731
1084	Chthonomonas/Armatimonadetes_gp3	Sexo1 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-1.5931066043985476	0.7650252674600218
1084	Chthonomonas/Armatimonadetes_gp3	Sexo1 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal1	-0.35766346694544365	0.9843323930092731
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 DisfuncionGonadal1 - Sexo1 DisfuncionGonadal1	1.8528815375182286	0.7460221971860697
1088	Barnesiella	Sexo0 DisfuncionGonadal0 - Sexo1 DisfuncionGonadal0	-0.8909251633038708	0.9855079468651429
1088	Barnesiella	Sexo0 DisfuncionGonadal0 - Sexo0 DisfuncionGonadal1	-0.3695459962757867	0.9855079468651429
