NCBI	Name	contrast	z.ratio	padj
1013	Methanobrevibacter	Sexo0 - Sexo1	-1.2026122327045887	0.22912641170190104
103	Acidobacteria_Gp17	Sexo0 - Sexo1	2.237151731250406e-14	0.9999999999999821
1036	Geothrix	Sexo0 - Sexo1	0.1954885154695149	0.845010527569684
1037	Holophaga	Sexo0 - Sexo1	-1.8728967729992632	0.06108264089837243
1039	Acidimicrobineae	Sexo0 - Sexo1	-1.7000683953026448	0.08911806123476732
1040	Actinomycineae	Sexo0 - Sexo1	0.09467514657502213	0.9245728594461532
1043	Corynebacterineae	Sexo0 - Sexo1	-0.08981296445686858	0.9284358456814553
1044	Frankineae	Sexo0 - Sexo1	-1.1628524435691259	0.24488937512194597
1045	Glycomycineae	Sexo0 - Sexo1	1.5003542072108964	0.13352267477712232
1046	Jiangellineae	Sexo0 - Sexo1	0.2922171288045624	0.7701206160191647
1048	Micrococcineae	Sexo0 - Sexo1	1.8182962561483056	0.06901886471522634
1049	Micromonosporineae	Sexo0 - Sexo1	1.4644352711324478	0.1430750568668533
1050	Propionibacterineae	Sexo0 - Sexo1	-1.8801713048472346	0.06008473503517833
1051	Pseudonocardineae	Sexo0 - Sexo1	0.13544306902438158	0.8922615736843802
1052	Streptomycineae	Sexo0 - Sexo1	0.22642889187933177	0.8208678589100924
1053	Streptosporangineae	Sexo0 - Sexo1	-0.9360258148268947	0.34925989657408096
1054	unclassified_Actinomycetales	Sexo0 - Sexo1	-1.0637929821328183	0.28742249119812935
1055	Bifidobacteriaceae	Sexo0 - Sexo1	-1.0255562006969159	0.3051008217250489
1056	Coriobacterineae	Sexo0 - Sexo1	-3.6594772957914796	2.527302325277436e-4
1059	Gaiellaceae	Sexo0 - Sexo1	-0.018482785052017135	0.9852537107593321
106	Acidobacteria_Gp1	Sexo0 - Sexo1	-1.2334427835774238	0.21741061118072158
1060	Rubrobacterineae	Sexo0 - Sexo1	-0.6118243649464006	0.540653967536324
1061	Conexibacteraceae	Sexo0 - Sexo1	0.4214989657080412	0.6733907662900516
1064	unclassified_Solirubrobacterales	Sexo0 - Sexo1	-1.660552367757286	0.09680338213530969
1065	Thermoleophilum	Sexo0 - Sexo1	-1.6156331165973816	0.1061736594445589
1083	Armatimonas/Armatimonadetes_gp1	Sexo0 - Sexo1	-1.3686240094678501	0.17111683498289382
1084	Chthonomonas/Armatimonadetes_gp3	Sexo0 - Sexo1	0.18717692575004116	0.8515219156863707
1088	Barnesiella	Sexo0 - Sexo1	-1.8763398715603412	0.0606086253841531
1089	Butyricimonas	Sexo0 - Sexo1	-2.847287562616404	0.004409351245100834
1090	Coprobacter	Sexo0 - Sexo1	1.5003542089797013	0.133522674319183
1091	Dysgonomonas	Sexo0 - Sexo1	-0.7836824273134261	0.4332264761886653
1093	Macellibacteroides	Sexo0 - Sexo1	-0.7836824272588687	0.43322647622068594
1095	Odoribacter	Sexo0 - Sexo1	-1.9864500626704618	0.04698337250992651
1096	Paludibacter	Sexo0 - Sexo1	-2.000582728053051	0.04543737645171792
1097	Parabacteroides	Sexo0 - Sexo1	-1.222979434169702	0.22133746410103286
1098	Petrimonas	Sexo0 - Sexo1	-0.7267981149718871	0.4673496380100492
1099	Porphyromonas	Sexo0 - Sexo1	-1.2473197619374108	0.2122802741680261
110	Acidobacteria_Gp23	Sexo0 - Sexo1	-0.726798114763452	0.46734963813775354
1100	Proteiniphilum	Sexo0 - Sexo1	-0.942116059452822	0.34613322325604895
1101	Tannerella	Sexo0 - Sexo1	-1.6941259506143473	0.090241352065535893
1102	unclassified_Porphyromonadaceae	Sexo0 - Sexo1	-2.245047652041985	0.024765073625074973
1103	Alloprevotella	Sexo0 - Sexo1	-0.995831028441164	0.31933225151746064
1105	Prevotella	Sexo0 - Sexo1	-0.8039795560651546	0.42140878203977633
1106	unclassified_Prevotellaceae	Sexo0 - Sexo1	-0.7590838305260319	0.4478024110486226
1107	Alistipes	Sexo0 - Sexo1	-3.637296638013135	2.755145660902458e-4
1111	unclassified_Rikenellaceae	Sexo0 - Sexo1	0.6118243654535978	0.540653967200716
1113	Bacteroides	Sexo0 - Sexo1	-1.8359843686893873	0.06635996850927692
1124	unclassified_Marinilabiliaceae	Sexo0 - Sexo1	-2.06568545774183	0.03885818929906388
1132	unclassified_Prolixibacteraceae	Sexo0 - Sexo1	0.6712854181275655	0.5020387221784353
1134	Algoriphagus	Sexo0 - Sexo1	0.1586708482921096	0.8739282068596625
114	Acidobacteria_Gp2	Sexo0 - Sexo1	-0.412536758874197	0.6799460436496378
115	Acidobacteria_Gp3	Sexo0 - Sexo1	-1.7783157201280742	0.0753520159212701
1150	Arcicella	Sexo0 - Sexo1	-2.065685454644087	0.03885818959175255
1154	Emticicia	Sexo0 - Sexo1	-1.0191167111513966	0.30814756147573885
116	Acidobacteria_Gp4	Sexo0 - Sexo1	-0.6885524981689128	0.4911049225639073
1161	Hymenobacter	Sexo0 - Sexo1	-0.2673085914047862	0.789231572391619
118	Acidobacteria_Gp6	Sexo0 - Sexo1	-0.942116058467402	0.3461332237605073
1180	unclassified_Cytophagaceae	Sexo0 - Sexo1	-2.495939799102362	0.01256239194594508
119	Acidobacteria_Gp7	Sexo0 - Sexo1	-0.2673085913869926	0.789231572405318
1200	unclassified_Flammeovirgaceae	Sexo0 - Sexo1	0.5801029569079034	0.5618451898613708
1204	Cryomorpha	Sexo0 - Sexo1	-2.7811202405924978e-14	0.9999999999999778
121	Holophagae	Sexo0 - Sexo1	1.4895527403951894	0.13634187615986734
1227	Capnocytophaga	Sexo0 - Sexo1	-1.1823924348414971e-14	0.9999999999999906
123	Actinobacteria	Sexo0 - Sexo1	-2.7312470912845273	0.006309514688070276
