NCBI	Name	contrast	z.ratio	padj
1013	Methanobrevibacter	Dieta0 Castrado0 - Dieta1 Castrado0	-0.3991470050367202	0.9998989299794125
1013	Methanobrevibacter	Dieta0 Castrado0 - Dieta0 Castrado1	0.33611581028020865	0.9998989299794125
1013	Methanobrevibacter	Dieta0 Castrado0 - Dieta1 Castrado1	0.06556504781516619	0.9998989299794125
1013	Methanobrevibacter	Dieta1 Castrado0 - Dieta0 Castrado1	0.7692483127587699	0.9998989299794125
1013	Methanobrevibacter	Dieta1 Castrado0 - Dieta1 Castrado1	0.484024504833178	0.9998989299794125
1013	Methanobrevibacter	Dieta0 Castrado1 - Dieta1 Castrado1	-0.27968196055814065	0.9998989299794125
1014	Methanosphaera	Dieta0 Castrado0 - Dieta1 Castrado0	-2.753357437315771	0.06014385625823726
1014	Methanosphaera	Dieta0 Castrado0 - Dieta0 Castrado1	3.916736690075942e-14	1
1014	Methanosphaera	Dieta0 Castrado0 - Dieta1 Castrado1	5.090585443901902e-16	1
1014	Methanosphaera	Dieta1 Castrado0 - Dieta0 Castrado1	2.870873106590962	0.06014385625823726
1014	Methanosphaera	Dieta1 Castrado0 - Dieta1 Castrado1	2.8708731066799946	0.06014385625823726
1014	Methanosphaera	Dieta0 Castrado1 - Dieta1 Castrado1	-4.001508789426067e-14	1
102	Acidobacteria_Gp16	Dieta0 Castrado0 - Dieta1 Castrado0	-1.1206959282335802	0.9987341399635532
102	Acidobacteria_Gp16	Dieta0 Castrado0 - Dieta0 Castrado1	-1.2353597929826226	0.9987341399635532
102	Acidobacteria_Gp16	Dieta0 Castrado0 - Dieta1 Castrado1	-0.6059867715619209	0.9987341399635532
102	Acidobacteria_Gp16	Dieta1 Castrado0 - Dieta0 Castrado1	-0.15262425140983715	0.9987341399635532
102	Acidobacteria_Gp16	Dieta1 Castrado0 - Dieta1 Castrado1	0.5220048915187343	0.9987341399635532
102	Acidobacteria_Gp16	Dieta0 Castrado1 - Dieta1 Castrado1	0.6558866892777618	0.9987341399635532
1036	Geothrix	Dieta0 Castrado0 - Dieta1 Castrado0	1.2548122221454374	0.9998927064046159
1036	Geothrix	Dieta0 Castrado0 - Dieta0 Castrado1	1.709301379501601	0.9998927064046159
1036	Geothrix	Dieta0 Castrado0 - Dieta1 Castrado1	1.1561280909957241	0.9998927064046159
1036	Geothrix	Dieta1 Castrado0 - Dieta0 Castrado1	0.5228601511053006	0.9998927064046159
1036	Geothrix	Dieta1 Castrado0 - Dieta1 Castrado1	-0.06688555811227631	0.9998927064046159
1036	Geothrix	Dieta0 Castrado1 - Dieta1 Castrado1	-0.5735680914963673	0.9998927064046159
1037	Holophaga	Dieta0 Castrado0 - Dieta1 Castrado0	-0.08346307531917065	0.9997917168419476
1037	Holophaga	Dieta0 Castrado0 - Dieta0 Castrado1	-0.43368321357696216	0.9997917168419476
1037	Holophaga	Dieta0 Castrado0 - Dieta1 Castrado1	-0.2224035127774561	0.9997917168419476
1037	Holophaga	Dieta1 Castrado0 - Dieta0 Castrado1	-0.37646986665400695	0.9997917168419476
1037	Holophaga	Dieta1 Castrado0 - Dieta1 Castrado1	-0.15053819801249824	0.9997917168419476
1037	Holophaga	Dieta0 Castrado1 - Dieta1 Castrado1	0.21934913120407626	0.9997917168419476
1038	unclassified_Holophagaceae	Dieta0 Castrado0 - Dieta1 Castrado0	1.0180897101839872	0.9998062696158941
1038	unclassified_Holophagaceae	Dieta0 Castrado0 - Dieta0 Castrado1	0.9131270222556932	0.9998062696158941
