NCBI	Name	contrast	z.ratio	padj
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta0	-0.641488463752057	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta0	-0.19263144430692763	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta0	-0.6293232631969307	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal0 Dieta1	-0.3458162140944727	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta1	0.4363168730047623	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta1	-0.3748488646111399	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta1	0.2361085525743864	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta0	0.4210103738887524	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta0	-0.19263144430692763	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal0 Dieta1	0.32063444625432097	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta1	1.0634825786346147	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta1	0.14309219708393806	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta1	0.7407759915441423	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta0	-0.641488463752057	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 Dieta0 - Sexo0 DisfuncionGonadal0 Dieta1	-0.17458362141712053	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta1	0.4920238057335059	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta1	-0.3458162140944727	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta1	0.4363168730047623	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal1 Dieta0 - Sexo0 DisfuncionGonadal0 Dieta1	0.38715547459272837	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal1 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta1	1.0221531336620904	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal1 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta1	0.32063444625432097	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal1 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta1	1.0634825786346147	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta1 - Sexo1 DisfuncionGonadal0 Dieta1	0.7972652305511464	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta1 - Sexo0 DisfuncionGonadal1 Dieta1	-0.19263144430692763	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal0 Dieta1 - Sexo1 DisfuncionGonadal1 Dieta1	0.5311922100451107	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta1 - Sexo0 DisfuncionGonadal1 Dieta1	-0.7591776966954463	0.9999999377194435
103	Acidobacteria_Gp17	Sexo1 DisfuncionGonadal0 Dieta1 - Sexo1 DisfuncionGonadal1 Dieta1	-0.19263144430692763	0.9999999377194435
103	Acidobacteria_Gp17	Sexo0 DisfuncionGonadal1 Dieta1 - Sexo1 DisfuncionGonadal1 Dieta1	0.7972652305511464	0.9999999377194435
1036	Geothrix	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta0	-0.17468342572924597	0.9999999999676066
1036	Geothrix	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta0	-0.9855650298270314	0.9999999999676066
1036	Geothrix	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal1 Dieta0	-0.714938311635242	0.9999999999676066
1036	Geothrix	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal0 Dieta1	0.6593337406066112	0.9999999999676066
1036	Geothrix	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo1 DisfuncionGonadal0 Dieta1	0.9809979863315336	0.9999999999676066
1036	Geothrix	Sexo0 DisfuncionGonadal0 Dieta0 - Sexo0 DisfuncionGonadal1 Dieta1	-0.0484924960597121	0.9999999999676066
