NCBI	Name	contrast	z.ratio	padj
1013	Methanobrevibacter	Castrado0 - Castrado1	2.97636071044664	0.0029169155342775644
103	Acidobacteria_Gp17	Castrado0 - Castrado1	-1.3637175371722863	0.1726564823928901
1036	Geothrix	Castrado0 - Castrado1	0.7113321208106645	0.47687845143850927
1037	Holophaga	Castrado0 - Castrado1	-1.0185467863714313	0.30841817832196255
1038	unclassified_Holophagaceae	Castrado0 - Castrado1	0.3776478006902243	0.705692249914275
1039	Acidimicrobineae	Castrado0 - Castrado1	0.020495011770030405	0.983648491272863
1040	Actinomycineae	Castrado0 - Castrado1	0.19572784009735142	0.8448231926046696
1042	Catenulisporineae	Castrado0 - Castrado1	0.14664609509811707	0.8834113683373419
1043	Corynebacterineae	Castrado0 - Castrado1	1.3436090240898786	0.17907484984484856
1044	Frankineae	Castrado0 - Castrado1	-2.6801051641700817	0.007359903376838802
1046	Jiangellineae	Castrado0 - Castrado1	-0.12541462543214735	0.90019531011128
1047	Kineosporiineae	Castrado0 - Castrado1	0.09250484062235513	0.9262969454530534
1048	Micrococcineae	Castrado0 - Castrado1	0.7489938972250266	0.45386088373938993
1049	Micromonosporineae	Castrado0 - Castrado1	-0.765005077318843	0.4442685212382082
1050	Propionibacterineae	Castrado0 - Castrado1	-0.9032135481303767	0.36641256878362155
1051	Pseudonocardineae	Castrado0 - Castrado1	-0.4333089493314325	0.6647903374291082
1052	Streptomycineae	Castrado0 - Castrado1	-0.32306581542496865	0.7466453985812089
1053	Streptosporangineae	Castrado0 - Castrado1	-0.31735553967560426	0.7509738390310056
1054	unclassified_Actinomycetales	Castrado0 - Castrado1	0.8238773926969161	0.41000922712102
1055	Bifidobacteriaceae	Castrado0 - Castrado1	-1.3176395762835995	0.1876243305749745
1056	Coriobacterineae	Castrado0 - Castrado1	-0.7240106693841791	0.4690591848753815
1058	Nitriliruptoraceae	Castrado0 - Castrado1	0.09250484034113156	0.9262969456764794
1059	Gaiellaceae	Castrado0 - Castrado1	-0.41925082095618643	0.6750328340384489
106	Acidobacteria_Gp1	Castrado0 - Castrado1	-0.3577061039661985	0.7205632646638283
1060	Rubrobacterineae	Castrado0 - Castrado1	-0.4831223233644466	0.6290088844688443
1061	Conexibacteraceae	Castrado0 - Castrado1	-1.6989110753832037	0.08933593988754364
1064	unclassified_Solirubrobacterales	Castrado0 - Castrado1	0.38901285799550434	0.697266634791457
1065	Thermoleophilum	Castrado0 - Castrado1	0.12828318551164605	0.8979248711745187
1069	Hydrogenobaculum	Castrado0 - Castrado1	-1.3637175329892732	0.17265648370991815
108	Acidobacteria_Gp21	Castrado0 - Castrado1	-1.0530187646148759	0.2923323920359896
1083	Armatimonas/Armatimonadetes_gp1	Castrado0 - Castrado1	0.874743398630962	0.38171354074884023
1084	Chthonomonas/Armatimonadetes_gp3	Castrado0 - Castrado1	-1.6650236182754246	0.09590804389493524
1088	Barnesiella	Castrado0 - Castrado1	0.2279733535530931	0.8196669558829313
1089	Butyricimonas	Castrado0 - Castrado1	-0.20397530920365675	0.8383727936734069
109	Acidobacteria_Gp22	Castrado0 - Castrado1	0.09250484065203891	0.9262969454294703
1090	Coprobacter	Castrado0 - Castrado1	0.09250484090688178	0.9262969452270032
1091	Dysgonomonas	Castrado0 - Castrado1	2.1502779840988437	0.0315332327867212
1093	Macellibacteroides	Castrado0 - Castrado1	0.8903055610104063	0.3733018359322412
1095	Odoribacter	Castrado0 - Castrado1	0.23313944268411854	0.8156531278163978
1096	Paludibacter	Castrado0 - Castrado1	-0.27166067878569944	0.7858829383333563
1097	Parabacteroides	Castrado0 - Castrado1	0.3461603594551779	0.729222203766872
1098	Petrimonas	Castrado0 - Castrado1	-0.274277289852629	0.7838715356225916
1099	Porphyromonas	Castrado0 - Castrado1	-0.8689129955150594	0.38489472091061533
110	Acidobacteria_Gp23	Castrado0 - Castrado1	0.4031397206303668	0.6868454413934414
1100	Proteiniphilum	Castrado0 - Castrado1	0.6030260042864733	0.5464913900557804
1101	Tannerella	Castrado0 - Castrado1	0.03509998621333069	0.9720000124069424
1102	unclassified_Porphyromonadaceae	Castrado0 - Castrado1	0.904928153237313	0.3655034510113926
