NCBI	Name	contrast	z.ratio	padj
1037	Holophaga	Tratamiento0 - Tratamiento1	-1.2817746241122028	0.1999217183769411
1039	Acidimicrobineae	Tratamiento0 - Tratamiento1	-1.743015711425277	0.0813308704288591
1040	Actinomycineae	Tratamiento0 - Tratamiento1	-0.8015376075421881	0.4228204813796224
1042	Catenulisporineae	Tratamiento0 - Tratamiento1	-1.1746834079434436	0.24012139984803268
1043	Corynebacterineae	Tratamiento0 - Tratamiento1	-0.23717323848281804	0.8125223966623822
1044	Frankineae	Tratamiento0 - Tratamiento1	-0.31556314532882646	0.7523341150293261
1045	Glycomycineae	Tratamiento0 - Tratamiento1	-0.27936798947730856	0.7799624341885405
1046	Jiangellineae	Tratamiento0 - Tratamiento1	-0.34629298183205864	0.7291225424096535
1048	Micrococcineae	Tratamiento0 - Tratamiento1	1.417829034270283	0.15624068523407653
1049	Micromonosporineae	Tratamiento0 - Tratamiento1	-1.0311588198792079	0.30246634826235314
1050	Propionibacterineae	Tratamiento0 - Tratamiento1	-1.9516179176823336	0.050983584347256083
1051	Pseudonocardineae	Tratamiento0 - Tratamiento1	-3.1057194939767663	0.0018981668595252485
1052	Streptomycineae	Tratamiento0 - Tratamiento1	-0.408524834314148	0.6828884019082757
1053	Streptosporangineae	Tratamiento0 - Tratamiento1	-1.10257688606676	0.2702109524252397
1054	unclassified_Actinomycetales	Tratamiento0 - Tratamiento1	-1.5566285446292107	0.11955870261970848
1055	Bifidobacteriaceae	Tratamiento0 - Tratamiento1	-1.5073623062078465	0.13171781504012742
1056	Coriobacterineae	Tratamiento0 - Tratamiento1	-1.5713488100269293	0.11610164940378967
1059	Gaiellaceae	Tratamiento0 - Tratamiento1	-3.1226297202344724	0.001792430971768688
106	Acidobacteria_Gp1	Tratamiento0 - Tratamiento1	-1.7232738717472746	0.08483901040982221
1060	Rubrobacterineae	Tratamiento0 - Tratamiento1	-0.2793679899859034	0.7799624337982712
1061	Conexibacteraceae	Tratamiento0 - Tratamiento1	-0.4206442582321614	0.6740148704316502
1064	unclassified_Solirubrobacterales	Tratamiento0 - Tratamiento1	-5.23793136453415	1.623864263020179e-7
1065	Thermoleophilum	Tratamiento0 - Tratamiento1	-1.1632032743646785	0.24474703836296105
1069	Hydrogenobaculum	Tratamiento0 - Tratamiento1	-1.1746834088859943	0.24012139947080163
